case,C2_over_C1,R2_over_R1,waveform,Ti_s,pause_fraction,dt_s,PI,EII,MPtotal_Jmin,flow_residual_max_Ls,paw_consistency_max_cmH2O
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.2,0.002,0.7491884202870251,0.4983768405740504,3.212022041706088,3.885780586188048e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.2,0.001,0.7491732796953686,0.49834655939073735,3.2157732384430022,3.885780586188048e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.2,0.0005,0.7491656971616913,0.4983313943233829,3.21765075652252,3.885780586188048e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.2,0.00025,0.7491619028632754,0.4983238057265509,3.218589995972614,3.885780586188048e-16,1.7763568394002505e-15
compliance-dominant_high-C2,4.0,1.0,square,1.5,0.2,0.000125,0.7491600049596431,0.49832000991928616,3.2190597358606228,3.885780586188048e-16,1.7763568394002505e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.0,0.004,0.20399178603692947,0.5920164279261411,10.199836613759775,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.0,0.002,0.2044141605239499,0.5911716789521002,10.28226066358311,5.551115123125783e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.0,0.001,0.20462291108709726,0.5907541778258053,10.323618850000729,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.0,0.0005,0.20472668477210448,0.590546630455791,10.344334523681258,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.0,0.00025,0.20477842214936048,0.590443155701279,10.354701510652122,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.0,0.000125,0.20480425358762486,0.5903914928247503,10.359887292296829,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.2,0.004,0.20231415584887225,0.5953716883022554,11.395949821176092,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.2,0.002,0.20280697809420808,0.5943860438115838,11.507404326071162,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.2,0.001,0.20305026270359336,0.5938994745928133,11.563368486778273,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.2,0.0005,0.20317113454114782,0.5936577309177044,11.591409874901519,6.661338147750939e-16,3.552713678800501e-15
compliance-dominant_low-C2,0.25,1.0,decelerating,0.6,0.2,0.00025,0.20323137921632894,0.593537241567342,11.605445405991277,8.881784197001252e-16,3.552713678800501e-15
